Categories,cat_count,Take?
Business,3992,TRUE
Shopping/Merchandizing,3445,TRUE
Marketing/Merchandising,2267,TRUE
Education/Reference,1855,TRUE
Blogs/Wikis,1701,TRUE
Uncategorized,1350,TRUE
Internet Services,1188,TRUE
Entertainment/Recreation/Hobbies,1157,TRUE
Travel,988,TRUE
Pornography,864,TRUE
General News,840,TRUE
Health,826,TRUE
Fashion/Beauty,744,TRUE
Software/Hardware,742,TRUE
Games,649,TRUE
Sports,643,TRUE
Finance,587,TRUE
Non Profit Organizations/Advocacy Groups,550,TRUE
Consumer Information,455,TRUE
Recreation/Hobbies,408,TRUE
Government/Military,357,TRUE
Real Estate,334,TRUE
PUPs,255,TRUE
Motor Vehicles,239,TRUE
Art/Culture/Heritage,224,TRUE
Forum/Bulletin Boards,215,TRUE
Gambling,213,TRUE
Restaurants,213,TRUE
Job Search,198,TRUE
Portal Sites,174,TRUE
Illegal Software,141,TRUE
Technical/Business Forums,129,TRUE
Religion and Ideology,116,TRUE
Politics/Opinion,112,TRUE
Content Server,104,TRUE
Alcohol,91,TRUE
Technical Information,88,TRUE
Dating/Personals,86,TRUE
Major Global Religions,85,TRUE
Streaming Media,83,TRUE
Auction,79,TRUE
Personal Pages,73,TRUE
Pharmacy/Drugs,69,TRUE
Shareware/Freeware,58,TRUE
Stock Trading,54,TRUE
Internet Radio/TV,52,TRUE
Interactive Web Applications,49,TRUE
Weapons,47,TRUE
Parked Domain,47,TRUE
Malicious Sites,46,TRUE
Media Downloads,37,TRUE
Provocative Attire,34,TRUE
Web Ads,34,TRUE
Media Sharing,34,TRUE
Web Mail,33,TRUE
Chat,30,TRUE
Gambling Related,29,TRUE
Social Networking,29,TRUE
Mobile Phone,28,TRUE
Phishing,28,TRUE
Humor,27,TRUE
Tobacco,23,TRUE
Sexual Materials,22,TRUE
Personal Network Storage,21,TRUE
Search Engines,17,TRUE
Drugs,16,TRUE
Information Security,15,TRUE
Anonymizers,12,TRUE
For Kids,11,TRUE
Profanity,10,TRUE
Extreme,9,TRUE
Professional Networking,7,TRUE
Criminal Skills,7,TRUE
P2P/File Sharing,7,TRUE
Instant Messaging,6,TRUE
Gruesome Content,5,TRUE
Messaging,5,TRUE
Web Phone,5,TRUE
Web Meetings,4,TRUE
Text Translators,4,TRUE
Nudity,4,TRUE
Consumer Protection,4,TRUE
Remote Access,4,TRUE
Anonymizing Utilities,3,TRUE
Resource Sharing,3,TRUE
Incidental Nudity,3,TRUE
School Cheating Information,3,TRUE
Hacking,2,TRUE
Spyware,2,TRUE
Controversial Opinions,2,TRUE
Violence,2,TRUE
Game/Cartoon Violence,2,TRUE
SA Domain Specifier,2,TRUE
Web Hosting,2,TRUE
Spam Email URLs,2,TRUE
Digital Postcards,1,TRUE
Hate Speech,1,TRUE
Malicious Downloads,1,TRUE